timestamp,video_id,title,views,likes,comments
2025-07-03 12:18:01,lazX0SwiGrw,미친 판단과 미친 창의력으로 완성된 미친 덱. 범조테크 미포테크 (롤토체스 시즌14),25528,124,18
2025-07-03 12:18:01,KDJMgCPiOSw,단돈 8만원 크루즈타고 물가가 미쳤다는 울릉도 여행,392897,7102,977
2025-07-03 12:18:01,klQrobUOlNw,이제 내 맘대로 해도되지? (( 지지고볶는여행 11회 )),5185,83,46
2025-07-03 12:18:01,-7F-M-fAqT8,이거 몰카 아니야?! 타워에서 컵라면 먹고있는 이유 ㅋㅋㅋ,235937,2238,286
2025-07-03 12:18:01,71NobKlLbgA,"[공모주] 로킷헬스케어, 원일 & 오가노이드의 덕을 보려나 / 수익 가능성 따져보기 / 기대 주가는?",19211,804,21
2025-07-03 12:18:01,JdoYRqw4Ssw,"[vlog] 준빵, 승헌, 찰스와 주말 경주여행 그리고 월요일 출근하는 브이로그ㅣ경주월드, 촬영, 강연, 독서, 필사, 행복에 대하여, 운동, 방탈출 등등",272484,5333,369
2025-07-03 12:18:01,j8NCg7jM_qU,6년 롤체 역사상 가장 충격적인 영상! 1코가 5코 3성보다 셉니다 ㄷㄷㄷㄷ,283338,1468,89
2025-07-03 12:18:01,uigC8tnQANY,[시골먹방] 지장리 중식셰프 셋째가 요리한 추억의 중국집 옛날 볶음밥 먹방 [Chinese restaurant fried rice]MUKBANG,109816,3820,342
2025-07-03 12:18:01,5fsrO7MqYO8,[지지고볶는여행] 영수에게 오더했다는 희대의 망언을 하는 영숙의 뻔뻔함 - 11화 리뷰,10237,103,44
2025-07-03 12:18:01,J6fwtzXXKQc,"52주 신고가 대장은? 조선·방산 한몸, K-뷰티! 美·中, 스위스 협상 포인트? | 김종철 | 국고처 05/10",8471,377,0
2025-07-03 12:18:01,#NAME?,,0,0,0
2025-07-03 12:18:01,yv0r70MHXl0,[250509] 성균관대학교(인문사회과학캠퍼스)/잔나비 JANNABI,14247,393,40
2025-07-03 12:18:01,mXiEkV6IUoU,250509 성균관대학교 축제 | 잔나비 JANNABI🌏,16208,732,51
2025-07-03 12:18:01,0M-myhEl26c,가짜 물 트랩으로 친구들 낚기 ㅋㅋㅋ,235096,2585,131
2025-07-03 12:18:01,xevOXjkaZ0k,1위? 이런 느낌이구나..한화 11연승_코디폰세9K _ 16안타맹타 한화는멈추지않는다 #한화이글스 #한화경기리뷰,25512,1144,85
2025-07-03 12:18:01,-9YIB3pRb64,"학교 스타 되는 법? 김기수 개강 메이크업, 실제 샵에서 받은 리얼 후기🖤",11312,52,12
2025-07-03 12:18:01,1KU_hdtIXkM,드디어 등장해버린 신화 총들!!?!? 근데 너는 왜 신화냐..?????? 저건 좀 이상한ㄷ.. (로블록스) - 라이벌,201988,840,97
2025-07-03 12:18:01,wVrOfkZzuF4,슈뻘맨 전설 못가면 번지점프 해야한다고!? 근데 영식이형만 전설!?,167056,4927,477
2025-07-03 12:18:01,ud1ki7oYSOw,2025년 홍구를 잡을 '최강의 적' 1위 등장!?,235745,1939,303
2025-07-03 12:18:01,BFuTL3VDMow,"발로란트 스킨에만 무려 1800만 원을 투자한 ""갓데드 스킨 세트"" 전격 리뷰",155597,1996,131
2025-07-03 12:18:01,hMG-0vaGux4,"개그맨 김학래 아들 동영의 소개팅, 그런데 패션이...?!",8137,49,26
2025-07-03 12:18:01,PSKo6teN8Ak,기차 여행 떠난 멤버들을 트레인이터로 쫓아가봤습니다ㅋㅋㅋ (충격적 결말…),250149,2118,117
2025-07-03 12:18:01,QMiL9zIPouI,내 파티에 초대받지 않은 이상한 놈들이 찾아왔다…,279173,9422,429
2025-07-03 12:18:01,pOOoB5WXUgY,디자인 회사 대표의 진격의 거인 오프닝 리뷰,155545,3354,321
2025-07-03 12:18:01,BpIPNfjimLc,몹들이 뭔가 이상한 운빨 뽑기 맵 ㅋㅋㅋㅋㅋ(마인크래프트),178707,3236,127
2025-07-03 12:18:01,YIYNI-rfM8A,이집트인들은 어떻게 빵으로 맥주를 만들었을까? 직접 도전해 봤습니다!,419819,7946,670
2025-07-03 12:18:01,AkUuBrD9Cvc,뒤늦게 말하는,729843,5179,1013
2025-07-03 12:18:01,sWJS6otiJps,대~충 11연승 (5월 10일 키움전 리뷰),67006,1966,248
2025-07-03 12:18:01,scZNsYWQZ6Q,이게 시바세키 라면이라고요? 왜요?,230682,4430,551
2025-07-03 12:18:01,wj35Vo-9zWY,이제 T1은 1명만 잘 하면 됩니다. (DK vs T1 리뷰),44188,539,392
2025-07-03 12:18:01,wmnQ8R0iy08,RRQ vs PRX - VCT 퍼시픽 - 스테이지1 - 플레이오프 - 패자조 결승,185438,1594,11
2025-07-03 12:18:01,4VW-h47ZJZM,거악&벡소테크도 잘 잡는 꿀덱! 개노답 삼형제의 증폭 애니 유미덱,39761,148,27
2025-07-03 12:18:01,z81vg2nO3dQ,🩸시골로 이사한 뒤 점점 드러나는 남편의 추악한 거짓말..(영화리뷰/결말포함)(공포영화),92960,896,23
2025-07-03 12:18:01,2DXJTC_U_MU,"와...하필이면 은퇴 후 조용히 살아가던 ""전직 최강 요원""을 건드려버린 범죄조직의 역대급 최후ㄷㄷ [영화리뷰/결말포함]《25년 5월 최신 액션영화》시간순삭 꿀잼 몰아보기!!",0,1998,63
2025-07-03 12:18:01,E3PE53Z4iWQ,우리 앙리 공격수 아니에유,231353,1869,190
2025-07-03 12:18:01,m7-rPCAKC6Q,단일 타겟팅의 단점을 완벽히 극복한 폭발 봇 개조체 문도,231298,1661,240
2025-07-03 12:18:01,SApb6y6dgJw,🔥이 영상을 보면 배그가 재미있어집니다ㅋㅋ “배틀그라운드 진짜 쉬운 게임이에요”,315630,3804,183
2025-07-03 12:18:01,I_n1RjoV2P4,감염되는 순간 절대 생존할 수 없는 좀비 바이러스🔥 극강의 리얼함으로 난리났었던 개꿀잼 좀비영화 【결말포함/영화리뷰】,176221,1345,58
2025-07-03 12:18:01,0Lm39rh8T4U,,0,0,0
2025-07-03 12:18:01,bPcU3lBxhUg,"[스포츠클래식 LIVE] 2025 KBO리그 데일리 야구 리뷰 [한화, 폰세 앞세워 33시즌만 11연승 / LG, 삼성 상대 더블헤더 싹쓸이 1위 추격 / 롯데, 타선으로 3연승]",31349,831,11
2025-07-03 12:18:01,dWzV9AV0zNA,공구리뷰.용접리뷰 tool 실시간 용접 tig welding,7187,13,0
2025-07-03 12:18:01,f6-lGGN9Zkw,트롤같은 플레이로 챌린저 학살하는 남자 ㅋㅋ 전략적죽음 장인초대석 [테스터훈],559633,5006,848
2025-07-03 12:18:01,hzZK6Sg5Jkc,한판만더..? 한판만더..? 한판만더..? 한판만더..? 한판만더..? 한판만더..? 한판만더..? 한판만더..?,991110,23966,872
2025-07-03 12:18:01,IQzwO-U5d6o,산부인과 전문의의 언젠가는 슬기로울 전공의생활 8화 리뷰,27019,457,42
2025-07-03 12:18:01,InzgHmONGEM,너무 많이 내려온 죄,544200,3100,377
2025-07-03 12:18:01,f-rLlhzP5TY,"[2S69]라팔 격추에 대한 세계 반응, 분석 그리고 대한민국에 주는 교훈!",58688,1173,825
2025-07-03 12:18:01,dnA7xQ_tZQw,11년생의 부산 브이로그 🚊💐,18603,842,331
2025-07-03 12:18:01,JONMYZcrDHU,"《1시간순삭》2025년 이상한 변호사 우영우 6화,  내가 고래였다면... 해외팬반응, Extraordinary Attorney Woo Ep6",17723,599,52
2025-07-03 12:18:01,tOac13uZkug,"압도적인 오더 차이, 결국 갈 데까지 간 스맵",242328,1674,231
2025-07-03 12:18:01,BcG4EHsDlqs,꽉 찬 미국 영화관에 한국 예수 영화가 나오자 돌발상황에 미국 전역이 난리난 이유 | 해외반응,63966,1306,73
2025-07-03 12:18:01,OX8C0BMbvgs,"두 번째 섬 마라도, 드디어 완공했습니다!!!!!!!!!!!!!!!",314662,8074,545
2025-07-03 12:18:01,DBHpJIAkHXo,"비트펠라 하우스의 윙과 히스의 조합은 환상 그 자체! HISS, WING 'OBJET'  윙, 히스 해외반응 Reaction",156471,1823,51
2025-07-03 12:18:01,k8wN53dhfK4,자취 16년차가 고른 8평 오피스텔 l 강남 월세,147099,1218,197
2025-07-03 12:18:01,SwoEHzkhr8M,배그 비밀의 방 플레어건 존버,226945,2862,276
2025-07-03 12:18:01,Vbi_607pRys,3인가족 한달 5만원으로 집밥 쟁여놓기 #반찬 #자취요리 #집밥 #요리 #recipe,11014,191,5
2025-07-03 12:18:01,bUNmZES6RQ8,트랄랄레로 트랄랄라,2530869,13950,2654
2025-07-03 12:18:01,5fZwiWvvd-A,개꿀잼 보장ㅋㅋ 땅없으면 죽는 게임! 다굴당하는 집사?! (로블록스 색상 게임),531000,3990,1115
2025-07-03 12:18:01,28wawdBsXSc,10CM with Joo Woojae (10CM with 주우재) - To Reach You (너에게 닿기를) | Show! MusicCore | MBC250510방송,1922917,36682,2076
2025-07-03 12:18:01,GUlIhJXIreA,"동대문 갔다가 5곳 돌아다니는 자취일상. 미나리끼워 항정살 먹기.만석닭강정, 미나리 소고기밥",727346,22033,469
2025-07-03 12:18:01,4f7OFF6xrr8,"[EN] [밥묵자]옆집 소년들 vs 옆집 노인 (feat. 리우, 재현)",794327,45464,1947
2025-07-03 12:18:01,qLj8ViMr5ag,멸치 볶을 필요 없어요. 30초면 끝납니다.✔ 평생 써먹으세요,146151,2071,18
